Entry,localization,evidence_code
O60936,Nucleolus,ECO:0000269
O60941,Nucleus,ECO:0000269
O60942,Nucleus,ECO:0000250
O75030,Nucleus,ECO:0000269
O75044,Nucleus,ECO:0000250
O75072,Nucleus,ECO:0000250
O75081,Nucleoplasm,ECO:0000269
O75081,Nucleolus,None
O75113,PML body,ECO:0000250
O75113,Nucleus,ECO:0000250
O75113,Nucleolus,ECO:0000250
O75116,Nucleus,None
O75121,Nucleus,ECO:0000269
O75131,Nucleus,ECO:0000269
O75132,Nucleus,ECO:0000269
O75150,Nucleus,ECO:0000269
O75151,Nucleolus,ECO:0000269
O75152,Nucleus,ECO:0000269
O75155,Nucleus,ECO:0000250
O75161,Nucleus,ECO:0000269
O75164,Nucleus,ECO:0000269
O75164,Nucleus,ECO:0000255
O75175,Nucleus,ECO:0000305
O75177,Nucleus,ECO:0000250
O75179,Nucleus,ECO:0000269
O75182,Nucleus,ECO:0000255
O75190,Nucleus,ECO:0000269
O75312,Nucleolus,None
O75312,Cajal body,None
O75312,Gem,None
O75312,Nucleus,None
O75319,Nucleus,ECO:0000269
O75319,Nucleus speckle,ECO:0000269
O75340,Nucleus,ECO:0000269
O75344,Nucleus,ECO:0000250
O75360,Nucleus,ECO:0000255
O75362,Nucleus,ECO:0000305
O75364,Nucleus,ECO:0000255
O75367,Nucleus,ECO:0000269
O75376,Nucleus,ECO:0000255
O75386,Nucleus,None
O75398,Nucleus,None
O75400,Nucleus speckle,ECO:0000250
O75400,Nucleus matrix,ECO:0000269
O75410,Nucleus,ECO:0000269
O75417,Nucleus,ECO:0000250
O75419,Nucleus,ECO:0000305
O75444,Nucleus,ECO:0000255
O75446,Nucleus,None
O75448,Nucleus,ECO:0000305
O75461,Nucleus,ECO:0000269
O75469,Nucleus,ECO:0000269
O75469,Nucleus,ECO:0000255
O75475,Nucleus,ECO:0000269
O75478,Nucleus,ECO:0000269
O75486,Nucleus,ECO:0000269
O75494,Nucleus speckle,ECO:0000269
O75496,Nucleus,ECO:0000269
O75506,Nucleus,None
O75525,Nucleus,ECO:0000269
